N,Size,Iterations,Time
100,0,217,4
100,0,217,4
100,0,217,5
100,0,217,4
100,0,217,4
200,0,365,29
200,0,365,28
200,0,365,29
200,0,365,28
200,0,365,28
300,0,445,79
300,0,445,80
300,0,445,82
300,0,445,80
300,0,445,79
400,1,445,140
400,1,445,140
400,1,445,141
400,1,445,140
400,1,445,140
500,1,445,220
500,1,445,219
500,1,445,222
500,1,445,220
500,1,445,219
600,2,445,343
600,2,445,319
600,2,445,320
600,2,445,320
600,2,445,343
700,3,445,464
700,3,445,468
700,3,445,556
700,3,445,519
700,3,445,463
800,4,445,609
800,4,445,608
800,4,445,638
800,4,445,648
800,4,445,610
900,6,445,772
900,6,445,768
900,6,445,769
900,6,445,2485
900,6,445,2845
1000,7,445,4752
1000,7,445,1081
1000,7,445,956
1000,7,445,952
1000,7,445,952
1100,9,445,1193
1100,9,445,1409
1100,9,445,1170
1100,9,445,1165
1100,9,445,1173
1200,10,445,1626
1200,10,445,1483
1200,10,445,1884
1200,10,445,2838
1200,10,445,3813
1300,12,445,3340
1300,12,445,1622
1300,12,445,1625
1300,12,445,1630
1300,12,445,1628
1400,14,445,1868
1400,14,445,1876
1400,14,445,1872
1400,14,445,3075
1400,14,445,6213
1500,17,445,3560
1500,17,445,2164
1500,17,445,2151
1500,17,445,2188
1500,17,445,2151
1600,19,445,2494
1600,19,445,4924
1600,19,445,7754
1600,19,445,2529
1600,19,445,2468
1700,22,445,2834
1700,22,445,2810
1700,22,445,3782
1700,22,445,8479
1700,22,445,2813
1800,24,445,3150
1800,24,445,3144
1800,24,445,3124
1800,24,445,4623
1800,24,445,7629
1900,27,445,3456
1900,27,445,3657
1900,27,445,3473
1900,27,445,3921
1900,27,445,7035
2000,30,445,4983
2000,30,445,3844
2000,30,445,3822
2000,30,445,4836
2000,30,445,10315
2100,33,445,4238
2100,33,445,4231
2100,33,445,4588
2100,33,445,9957
2100,33,445,4266
2200,36,445,4696
2200,36,445,4992
2200,36,445,11834
2200,36,445,4686
2200,36,445,4682
2300,40,445,9536
2300,40,445,7455
2300,40,445,5127
2300,40,445,5980
2300,40,445,11035
2400,43,445,5543
2400,43,445,5542
2400,43,445,12767
2400,43,445,5532
2400,43,445,15926
2500,47,445,6003
2500,47,445,8406
2500,47,445,6646
2500,47,445,6003
2500,47,445,10104
2600,51,445,9143
2600,51,445,6488
2600,51,445,13163
2600,51,445,6481
2600,51,445,6703
2700,55,445,13538
2700,55,445,7043
2700,55,445,12833
2700,55,445,7303
2700,55,445,7051
2800,59,445,13530
2800,59,445,7524
2800,59,445,13513
2800,59,445,7530
2800,59,445,8376
2900,64,445,11769
2900,64,445,8118
2900,64,445,13279
2900,64,445,8095
2900,64,445,12307
3000,68,445,10774
3000,68,445,12093
3000,68,445,12576
3000,68,445,15593
3000,68,445,8615
3100,73,445,13957
3100,73,445,10004
3100,73,445,14860
3100,73,445,9565
3100,73,445,15934
3200,78,445,10025
3200,78,445,15052
3200,78,445,9933
3200,78,445,16841
3200,78,445,10197
3300,83,445,16246
3300,83,445,14770
3300,83,445,12305
3300,83,445,16524
3300,83,445,10547
3400,88,445,17803
3400,88,445,15835
3400,88,445,12525
3400,88,445,16433
3400,88,445,11424
3500,93,445,18819
3500,93,445,18960
3500,93,445,13597
3500,93,445,16507
3500,93,445,18989
3600,98,445,16796
3600,98,445,14286
3600,98,445,17888
3600,98,445,19298
3600,98,445,12617
3700,104,445,19919
3700,104,445,19928
3700,104,445,19231
3700,104,445,13232
3700,104,445,19243
3800,110,445,20026
3800,110,445,20517
3800,110,445,16164
3800,110,445,19286
3800,110,445,21495
3900,116,445,21392
3900,116,445,20718
3900,116,445,21315
3900,116,445,16355
3900,116,445,19943
4000,122,445,20570
4000,122,445,22067
4000,122,445,21467
4000,122,445,22024
4000,122,445,22330
4100,128,445,20041
4100,128,445,20363
4100,128,445,21182
4100,128,445,22520
4100,128,445,23310
4200,134,445,24216
4200,134,445,23101
4200,134,445,23800
4200,134,445,24033
4200,134,445,23104
4300,141,445,24167
4300,141,445,24946
4300,141,445,23978
4300,141,445,24661
4300,141,445,24943
4400,147,445,25963
4400,147,445,26368
4400,147,445,22230
4400,147,445,26774
4400,147,445,27013
4500,154,445,29464
4500,154,445,26140
4500,154,445,25523
4500,154,445,26580
4500,154,445,26426
4600,161,445,28009
4600,161,445,27109
4600,161,445,29059
4600,161,445,29914
4600,161,445,27783
4700,168,445,28569
4700,168,445,30944
4700,168,445,32603
4700,168,445,28668
4700,168,445,25917
4800,175,445,29131
4800,175,445,34000
4800,175,445,30149
4800,175,445,29062
4800,175,445,26840
4900,183,445,35535
4900,183,445,30435
4900,183,445,29841
4900,183,445,35474
4900,183,445,31014
5000,190,445,30699
5000,190,445,38530
5000,190,445,31303
5000,190,445,33559
5000,190,445,34680
